CSMD2	1	chr1	-	33979599	34630875	33982170,33985277,33985550,33987150,33989019,33990643,33992858,33998829,33999507,34002695,34003209,34006298,34006909,34008496,34011819,34015950,34023522,34025073,34033441,34035147,34037326,34038291,34043084,34046499,34049430,34052217,34052768,34066610,34068146,34071070,34076850,34080220,34082575,34083217,34087871,34089066,34090243,34090854,34092181,34099135,34100930,34102154,34112435,34118061,34123737,34128692,34158656,34164544,34166273,34174858,34180375,34182101,34189913,34190305,34191137,34192286,34204935,34209207,34238352,34254313,34258127,34276465,34285438,34286157,34291375,34312597,34383902,34401555,34498307,34554794,	33985065,33985412,33987063,33988907,33990482,33992796,33998650,33999396,34002622,34003036,34006125,34006730,34008320,34011637,34015777,34023334,34024900,34033193,34034974,34037132,34038106,34042896,34046353,34049242,34052104,34052688,34066465,34067969,34070882,34076641,34080104,34082506,34083099,34087767,34088970,34090119,34090651,34092086,34099022,34100814,34101960,34112248,34117923,34123546,34128490,34158530,34164353,34166117,34174689,34180187,34181886,34189797,34190117,34190950,34192148,34204741,34208881,34238170,34254201,34258024,34276344,34285314,34286070,34291298,34312485,34383695,34401361,34498195,34554578,34630512,
SFPQ	1	chr1	-	35648533	35658749	35650194,35652723,35652852,35653691,35654688,35654983,35656194,35656596,35657130,	35652602,35652804,35653574,35654604,35654787,35656099,35656295,35656942,35657823,
THRAP3	1	chr1	+	36690017	36770958	36690106,36725085,36748301,36752871,36755365,36757147,36758310,36759536,36762371,36766685,36767297,	36724983,36748134,36751969,36754661,36756975,36758199,36759452,36762184,36766487,36767154,36769397,
MACF1	1	chr1	+	39549804	39952652	39550110,39696915,39715775,39720047,39723700,39748046,39748973,39749187,39749857,39750100,39750882,39751062,39751430,39753234,39757710,39758515,39759291,39760822,39761554,39763417,39766034,39768750,39775368,39776100,39776672,39781363,39782201,39783079,39784287,39785419,39788387,39788680,39790017,39790406,39793025,39802325,39803003,39806389,39806625,39812882,39815299,39816690,39818903,39823565,39824545,39824936,39826673,39827349,39833986,39835858,39838268,39844195,39845116,39846045,39847824,39851601,39854330,39888207,39888572,39889866,39893286,39894998,39895740,39896580,39898326,39898827,39900304,39901433,39902162,39903680,39905172,39906797,39906997,39907725,39907992,39908239,39908583,39909246,39910507,39913259,39913570,39913824,39914435,39916883,39918022,39918484,39919522,39920769,39924162,39924921,39926466,39927709,39929358,39934404,39945681,39950402,	39696854,39715686,39719970,39723608,39747880,39748861,39749081,39749738,39750005,39750755,39750969,39751276,39752958,39757582,39758438,39759130,39760718,39761459,39763292,39765882,39768596,39775242,39775917,39776503,39781185,39782063,39782886,39784125,39785336,39788280,39788582,39789865,39790318,39792890,39796875,39802854,39806174,39806476,39812649,39815150,39816457,39818679,39823047,39824369,39824813,39826465,39827032,39833820,39835702,39838151,39844133,39844875,39845916,39847625,39851106,39852859,39888046,39888402,39889700,39893127,39894914,39895499,39896374,39898207,39898720,39900086,39901230,39902154,39903449,39904946,39906675,39906896,39907624,39907819,39908084,39908386,39909118,39910334,39913104,39913364,39913705,39914266,39916724,39917828,39918356,39919379,39920581,39924042,39924758,39926304,39927555,39929284,39934287,39945470,39950273,39951210,
CCDC30	0	chr1	+	42948327	43119852	42948487,42955900,42962884,42964587,43000660,43002272,43004981,43011250,43022076,43032146,43042900,43047185,43055154,43076761,43103049,43108280,43110478,43111988,43119114,	42955829,42962769,42964489,43000560,43002147,43004844,43011081,43021827,43031967,43042691,43047031,43054992,43076649,43102908,43108144,43110364,43111806,43119047,43119489,
PTPRF	1	chr1	+	43996561	44088028	43996761,44003948,44010837,44019308,44019612,44035449,44044591,44054671,44057224,44057619,44058272,44063724,44064584,44069204,44069860,44070671,44071114,44071293,44072129,44072639,44075169,44079386,44083239,44083582,44084420,44084873,44085244,44085529,44085892,44086250,44086663,44086903,	44003869,44010702,44019163,44019471,44035261,44044481,44054402,44056643,44057483,44058128,44063419,44064391,44069087,44069282,44070574,44070861,44071200,44071911,44072485,44075054,44079289,44083116,44083407,44084301,44084719,44084959,44085351,44085766,44086125,44086509,44086768,44087606,
RNF220	0	chr1	+	44870866	45117395	44871198,44878394,45079969,45088459,45092070,45098057,45101260,45101834,45110466,45110753,45110948,45111160,45115441,45115629,	44877653,45079837,45088414,45091969,45098015,45101217,45101702,45110370,45110667,45110893,45111082,45115333,45115555,45116376,
GPBP1L1	1	chr1	-	46092976	46152208	46094080,46095350,46096278,46099319,46099908,46106075,46108171,46120501,46120991,46124814,46126897,	46095248,46096154,46099161,46099768,46105882,46108099,46120215,46120862,46124700,46125856,46152084,
TRABD2B	1	chr1	-	48226200	48462567	48231778,48241111,48244216,48260432,48267291,48460269,	48240842,48244126,48260258,48267145,48459706,48462360,
FAF1	1	chr1	-	50902700	51425935	50907195,50941351,50956337,50957473,51001129,51005400,51032903,51048371,51049387,51050483,51061888,51121200,51171563,51204626,51210447,51253877,51267349,51323669,	50941136,50956260,50957393,51001041,51005264,51032749,51048290,51049324,51050357,51061793,51121114,51171458,51204535,51210356,51253672,51267303,51323601,51425439,
RAB3B	1	chr1	-	52373628	52456436	52385786,52399114,52403084,52442789,	52398990,52402966,52442562,52456224,
SCP2	1	chr1	+	53392901	53517375	53393137,53407525,53413752,53416558,53420476,53427301,53440504,53442441,53444039,53446215,53453808,53480715,53493743,53504718,53513609,	53407468,53413681,53416427,53420412,53427175,53440441,53442355,53443889,53446068,53453701,53480562,53493641,53504589,53513530,53516281,
TCEANC2	0	chr1	+	54519274	54571755	54519431,54520197,54534570,54554463,	54520054,54534429,54554270,54561958,
USP24	1	chr1	-	55532032	55680786	55534780,55537597,55538076,55538534,55539579,55541196,55542973,55544324,55545332,55547097,55549037,55549561,55551711,55555413,55557799,55558589,55559760,55561069,55562295,55562845,55563390,55563757,55564231,55565542,55566637,55567376,55569693,55571936,55573103,55575919,55586429,55587179,55589275,55590301,55591221,55591431,55595247,55598373,55599836,55600086,55603361,55603577,55604391,55604683,55607404,55608468,55608792,55609876,55611782,55612733,55613471,55614243,55619590,55619953,55620139,55620451,55622724,55623043,55624709,55625358,55627937,55631623,55632276,55637351,55638193,55642116,55643805,	55537487,55537990,55538459,55539501,55541130,55542908,55544211,55545211,55546995,55548945,55549445,55551615,55555300,55557696,55558494,55559610,55560928,55562171,55562625,55563271,55563616,55564149,55565444,55566512,55567257,55569549,55571819,55572912,55575858,55586269,55587109,55589120,55590142,55590993,55591336,55595150,55598218,55599743,55600001,55603188,55603479,55604281,55604617,55607289,55608415,55608652,55609800,55611671,55612602,55613322,55614136,55619543,55619792,55620044,55620344,55622621,55622929,55624551,55625284,55627872,55631558,55632241,55637229,55638050,55642049,55643640,55680463,
DAB1	1	chr1	-	57460451	57889729	57463801,57476463,57476945,57481104,57489312,57491716,57528616,57535098,57536734,57537314,57538087,57602314,57611102,57756838,	57476353,57476818,57480556,57489204,57491654,57528557,57535033,57536696,57537195,57537956,57602216,57610963,57756636,57889602,
FGGY	0	chr1	+	59762663	60228402	59762822,59787422,59805741,59812070,59844509,59922748,59978111,60019899,60073582,60091721,60104047,60125965,60133075,60139805,60223664,	59787208,59805630,59811919,59844421,59922633,59977983,60019796,60073475,60091660,60103900,60125891,60132955,60139711,60223603,60228175,
NFIA	1	chr1	+	61547980	61928465	61548490,61554352,61743257,61798258,61818239,61824946,61849037,61869954,61872399,61892228,	61553821,61743192,61798184,61818122,61824819,61848909,61869776,61872234,61892137,61920975,
USP1	1	chr1	+	62901975	62917473	62902233,62905708,62907279,62907970,62908990,62911100,62913182,62914337,	62905470,62907159,62907866,62908830,62910409,62913012,62914136,62915917,
ITGB3BP	0	chr1	-	63906444	63988886	63906774,63912527,63919645,63920144,63920639,63944504,63955889,63974241,	63912477,63919589,63920051,63920561,63944435,63955754,63974199,63988800,
CACHD1	0	chr1	+	64936475	65158741	64936625,65016339,65047987,65068595,65095164,65098426,65099943,65107652,65113717,65117993,65119564,65120486,65124556,65129520,65130362,65131850,65137369,65138940,65139147,65141244,65141666,65142694,65143993,65145439,65147018,65147789,	65016277,65047839,65068489,65095038,65098282,65099727,65107503,65113484,65117844,65119441,65120369,65124388,65129378,65130181,65131740,65137247,65138841,65139031,65141084,65141580,65142578,65143842,65145278,65146941,65147688,65157006,
LEPR	0	chr1	+	65886335	66107242	65886423,65891061,66031288,66036485,66038132,66058548,66062276,66064487,66067365,66067643,66070920,66074584,66075789,66075979,66081907,66083829,66085706,66087141,66088664,	65890986,66031229,66036156,66038009,66058340,66062131,66064343,66067075,66067526,66070721,66074436,66075630,66075897,66081691,66083647,66085611,66087036,66088589,66101874,
LRRC7	1	chr1	+	70225858	70587926	70226076,70257843,70291509,70300552,70303966,70397253,70446136,70452069,70460316,70477609,70478772,70482217,70484501,70486812,70489057,70494054,70501915,70502307,70505476,70509777,70518828,70541981,70555502,70573509,	70257726,70291431,70300463,70303910,70397190,70446062,70451925,70460244,70477480,70478657,70482148,70484402,70486688,70488809,70493854,70501804,70502127,70503796,70509637,70518709,70541760,70555410,70573435,70587463,
NEGR1	1	chr1	-	71861623	72748417	71873253,72058651,72076829,72163822,72241980,72400994,	72058500,72076709,72163691,72241855,72400762,72748002,
ST6GALNAC3	1	chr1	+	76540404	77100286	76540569,76779684,76878102,77093244,	76779490,76877693,77093137,77094305,
PIGK	1	chr1	-	77554675	77685111	77558175,77588044,77620306,77627090,77627396,77629627,77632515,77635080,77672416,77676174,	77587960,77620134,77626980,77627279,77629531,77632404,77634945,77672325,77676121,77684995,
ADGRL2	0	chr1	+	81771851	82458106	81772194,81910774,82046665,82227537,82302742,82372915,82402521,82409453,82416166,82416805,82417826,82418709,82421744,82431867,82432293,82433883,82435071,82436218,82437602,82445644,82447660,82450395,82451039,82452713,	81910721,82046561,82227496,82302570,82372702,82402412,82408653,82415873,82416702,82417641,82418671,82421561,82431742,82432088,82433710,82434862,82435998,82437536,82445553,82447492,82450267,82450943,82452585,82456075,
CLCA4	1	chr1	+	87012761	87046437	87012961,87025755,87026041,87029452,87031134,87031703,87033334,87036937,87038403,87040438,87041282,87043755,87045270,	87025615,87025894,87029344,87030957,87031485,87033107,87036760,87038297,87040223,87041015,87043585,87045037,87045625,
LRRC8C	1	chr1	+	90098631	90185092	90098881,90152170,	90152029,90178268,
RP11-302M6.4	0	chr1	+	90098699	90398809	90098881,90152170,90309341,	90152029,90309197,90398626,
FAM69A	1	chr1	-	93307724	93427057	93309752,93312916,93316512,93341987,	93312740,93316405,93341853,93426933,
GCLM	0	chr1	-	94350761	94374966	94354715,94360284,94362376,94363454,94367225,94370144,	94360170,94362174,94363395,94367141,94370079,94374594,
NTNG1	1	chr1	+	107682629	108024471	107682821,107691461,107867544,107937948,107950330,107973539,107979421,	107690691,107866904,107937776,107950304,107973372,107979287,108023233,
GNAI3	1	chr1	+	110091233	110160943	110091460,110116401,110116659,110121983,110125187,110128967,110129504,110134877,	110116359,110116518,110121826,110125059,110128838,110129351,110134665,110134967,
KCNA2	1	chr1	-	111136202	111150051	111147567,111148344,	111148013,111149873,
RAP1A	1	chr1	+	112084840	112255735	112085131,112234039,112238031,112240119,112246098,112247108,112251886,	112233956,112237963,112240063,112245958,112246965,112251771,112255053,
RHOC	1	chr1	-	113243728	113250025	113244335,113245315,113245741,113246428,113247790,	113245185,113245621,113246266,113247722,113249700,
RP11-426L16.10	1	chr1	-	113245270	113253977	113245315,113245741,113246428,113247790,113253233,113253473,113253693,	113245621,113246266,113247722,113253082,113253366,113253630,113253888,
PHTF1	1	chr1	-	114239824	114301777	114240347,114241009,114242421,114243571,114246789,114247419,114248784,114249344,114253097,114254457,114254735,114256060,114267515,114269196,114280890,114281421,114300377,	114240884,114242326,114243416,114246703,114247288,114248512,114249216,114252876,114254368,114254562,114255901,114267381,114269040,114280732,114281352,114300321,114301281,
WDR3	1	chr1	+	118472391	118509165	118472405,118476113,118477305,118479510,118481181,118482195,118483563,118483848,118484470,118485167,118486249,118488802,118491129,118492459,118492753,118493513,118494699,118495031,118495285,118495619,118496164,118496722,118497250,118497981,118499819,118501626,	118475911,118477096,118479392,118481103,118482100,118483450,118483747,118484373,118485060,118486019,118488709,118491028,118492374,118492618,118493457,118494599,118494920,118495151,118495569,118496099,118496630,118497203,118497938,118499691,118501533,118501915,
NOTCH2	1	chr1	-	120454176	120612240	120459317,120460385,120461176,120462236,120463020,120464432,120465069,120465401,120466607,120468433,120469234,120471835,120478227,120480089,120480633,120483379,120484377,120491189,120491749,120493460,120496311,120497855,120502125,120506430,120508189,120509112,120510244,120510855,120512367,120529705,120539955,120548211,120572610,	120460288,120461029,120461935,120462852,120464336,120464859,120465259,120466260,120467928,120469122,120471599,120478095,120479905,120480480,120483178,120484149,120491037,120491630,120493347,120496166,120497663,120502015,120506197,120508076,120508999,120510056,120510700,120512134,120529583,120539620,120547952,120572529,120611948,
PDZK1	1	chr1	+	145727666	145764207	145727749,145747253,145748587,145752564,145754150,145756613,145761402,145762329,	145747042,145748338,145752428,145753955,145756417,145761178,145762039,145763570,
OTUD7B	1	chr1	-	149909705	149982625	149910374,149910652,149916964,149919236,149920985,149921681,149922124,149931715,149936274,149937803,149939446,149943179,149949511,	149910381,149910685,149919152,149920871,149921532,149921997,149931603,149936147,149937702,149939219,149942991,149949361,149982397,
TPM3	1	chr1	-	154139941	154164687	154140416,154141859,154142945,154143187,154143964,154145454,154145677,154148724,154163787,	154141781,154142876,154143125,154143889,154145384,154145560,154148591,154163662,154164378,
SMG5	1	chr1	-	156219015	156252616	156220461,156220787,156221268,156222295,156222869,156223299,156228954,156230417,156231199,156233361,156236171,156236469,156237469,156237974,156238206,156242189,156243241,156244477,156247032,156247839,156248825,	156220649,156221194,156222205,156222710,156223240,156228796,156230242,156231124,156233186,156235572,156236332,156237261,156237906,156238081,156242111,156243152,156244388,156246876,156247716,156248727,156252398,
FCGR2A	1	chr1	+	161475220	161488348	161475342,161475797,161476381,161479864,161480746,161483722,	161475777,161476127,161479610,161480624,161483685,161487765,
PBX1	1	chr1	+	164528872	164821068	164529250,164532548,164761975,164769126,164776914,164781386,164789421,164790863,	164532475,164761731,164768936,164776779,164781227,164789309,164790774,164815821,
MROH9	0	chr1	+	170904667	170967947	170904728,170914722,170916714,170927681,170928738,170931117,170934396,170941024,170952675,170955851,170959144,170961470,170964672,170965785,	170914661,170916668,170927602,170928603,170931031,170934292,170940889,170952563,170955702,170958996,170961305,170964530,170965648,170967295,
DNM3	1	chr1	+	171810640	172381857	171810957,171890961,171956945,171958288,172001640,172002405,172007601,172011284,172013592,172017890,172038045,172051042,172062015,172100428,172222822,172277979,172348322,172356499,172357949,	171890888,171956796,171958085,172001542,172002245,172007459,172011149,172013525,172017752,172037959,172050972,172061964,172100315,172222713,172277868,172348158,172356273,172357713,172376912,
TNFSF18	0	chr1	-	173009100	173020103	173010853,173013109,	173013079,173019881,
TNN	1	chr1	+	175036994	175117202	175037071,175046963,175048843,175049562,175053071,175054630,175063389,175066819,175067731,175086341,175087960,175092799,175096221,175097300,175097882,175105077,175106124,175113686,	175046520,175048469,175049299,175052886,175054541,175063126,175066553,175067468,175086075,175087697,175092536,175096091,175097168,175097731,175104981,175105957,175113523,175116067,
BRINP2	1	chr1	+	177140633	177251558	177140868,177199281,177225245,177226520,177242729,177245570,177247921,	177198937,177225055,177226312,177242624,177245334,177247699,177249548,
RASAL2	1	chr1	+	178063276	178442557	178063829,178252826,178269253,178359341,178389755,178408710,178410782,178412364,178414797,178420850,178421787,178423783,178426034,178427679,178433547,178435257,178436556,	178252699,178269127,178359235,178389646,178408557,178410684,178411810,178414653,178420706,178421551,178423582,178425856,178426818,178433413,178435055,178436469,178442210,
SOAT1	1	chr1	+	179262937	179327815	179263071,179271937,179292630,179304792,179307031,179308680,179310445,179311327,179312078,179312770,179314211,179316832,179318077,179319566,179320597,	179271812,179292572,179304641,179306972,179308573,179310163,179311249,179311997,179312725,179314082,179316735,179317979,179319431,179320452,179322720,
ACBD6	0	chr1	-	180257365	180472089	180257652,180283857,180366740,180382606,180399397,180461500,180464660,	180283827,180366651,180382501,180399315,180461404,180464596,180471180,
RGSL1	0	chr1	+	182419281	182529693	182419313,182423175,182427528,182429268,182441692,182443677,182457482,182458337,182462264,182491244,182496907,182499496,182500045,182501926,182509556,182517590,182517959,182520344,182522676,182523828,182525357,	182423093,182427454,182429139,182441531,182442710,182457420,182458115,182462157,182491139,182496714,182499379,182499925,182501797,182509382,182517452,182517835,182520235,182522590,182523762,182525159,182529414,
SMG7	1	chr1	+	183441637	183523321	183441784,183482003,183485126,183486955,183495902,183497162,183498177,183498668,183502461,183502967,183506350,183507575,183510238,183511637,183513632,183514447,183515472,183518423,183519058,183520056,183520325,	183481972,183485009,183486823,183495731,183497091,183498027,183498533,183502299,183502811,183506280,183507515,183510119,183511211,183513488,183514065,183515101,183518343,183518899,183519886,183520180,183520953,
PTGS2	1	chr1	-	186640923	186649559	186643894,186644528,186645316,186645845,186646048,186646962,186647536,186648333,186648570,	186644381,186645030,186645599,186645965,186646781,186647393,186648190,186648454,186649371,
ZBTB41	0	chr1	-	197122810	197169672	197129144,197141378,197144245,197145800,197147642,197150247,197157569,197159961,197161029,	197141290,197144140,197145694,197147547,197150118,197157422,197159892,197160822,197168484,
NEK7	1	chr1	+	198126093	198291550	198126406,198201767,198222310,198231767,198233365,198247199,198248191,198262169,198266370,	198201683,198222170,198231705,198233255,198247091,198248084,198262075,198266257,198288542,
PPP1R12B	1	chr1	+	202317827	202561834	202318270,202386045,202391866,202394853,202396312,202398057,202399938,202400747,202403896,202407152,202409916,202411700,202418299,202457751,202462445,202464610,202464810,202465950,202528021,202532050,202533675,202536959,202538325,	202385915,202391748,202394694,202396168,202397983,202399859,202400608,202403784,202406949,202409834,202411575,202418117,202457661,202462242,202464421,202464698,202465909,202528005,202531906,202533571,202536906,202538275,202549602,
HHAT	1	chr1	+	210501596	210849638	210501728,210522410,210536263,210560925,210574006,210578023,210591669,210637999,210686532,210761443,210797014,	210522277,210536196,210560812,210573812,210577808,210591498,210637849,210686497,210761242,210796870,210847630,
BATF3	1	chr1	-	212859760	212873327	212860321,212870407,	212870303,212873015,
USH2A	1	chr1	-	215796236	216596738	215799212,215802377,215808045,215812580,215814076,215821072,215822108,215824143,215844635,215848958,215853718,215901726,215914879,215916677,215932094,215933185,215940130,215953383,215955538,215956277,215960216,215963624,215972467,215987246,215990537,216011445,216017838,216019375,216040512,216051222,216052440,216062396,216073559,216074247,216108137,216138821,216144118,216166509,216172400,216173904,216219934,216221989,216243634,216246311,216246642,216251704,216256928,216258219,216260162,216262481,216270555,216348824,216363709,216370064,216371926,216373463,216380773,216390892,216405478,216420568,216424440,216462752,216465712,216495318,216497037,216497694,216498941,216500996,216538427,216592021,216595882,	215802156,215807801,215812497,215813900,215820864,215821870,215823934,215844314,215847442,215853491,215901372,215914717,215916519,215931937,215933002,215940023,215953185,215955384,215956080,215960012,215963401,215972249,215987078,215990339,216011333,216017636,216019166,216040349,216051100,216052106,216061768,216073417,216074097,216107958,216138659,216143967,216166362,216172229,216173745,216219773,216221876,216243443,216246231,216246439,216251431,216256798,216258040,216260061,216262355,216270425,216348594,216363565,216369895,216371657,216372969,216380615,216390729,216405295,216419927,216424245,216462622,216465517,216495225,216496816,216497510,216498647,216500933,216538295,216591856,216595194,216596556,
ESRRG	1	chr1	-	216676588	217262987	216680525,216692763,216737722,216741440,216824431,216850833,217038520,217113015,	216692494,216737561,216741330,216824315,216850418,217038403,217112924,217262849,
EPRS	0	chr1	-	220141943	220220000	220142298,220142464,220145489,220146740,220152061,220152957,220153582,220154199,220154799,220156186,220156740,220157599,220160746,220162165,220170684,220174597,220178702,220179655,220180680,220184398,220191850,220192421,220193563,220195860,220197798,220198600,220203822,220205868,220207000,220208355,220213611,	220142400,220145411,220146580,220151888,220152760,220153427,220154098,220154720,220156114,220156531,220157548,220160484,220161932,220170325,220174480,220178590,220179448,220180544,220184288,220191791,220192337,220193330,220195689,220197606,220198474,220203728,220205729,220206844,220208256,220213527,220219685,
DNAH14	0	chr1	+	225117356	225586971	225117537,225140481,225142800,225148004,225152311,225155285,225156576,225161855,225190629,225195246,225211567,225226525,225230816,225231491,225231685,225238078,225239497,225267250,225268450,225270441,225273491,225284941,225288586,225305490,225305701,225306996,225328723,225332330,225333081,225334951,225339775,225340585,225341528,225347187,225355730,225373127,225380613,225391975,225393881,225394922,225418853,225428524,225438405,225440119,225445820,225446955,225451963,225453071,225454471,225458568,225459775,225460827,225477784,225488732,225491049,225492791,225495271,225496112,225506379,225510525,225512055,225512534,225519279,225521208,225525198,225525884,225528403,225534082,225534356,225539585,225541590,225546354,225548593,225552596,225555734,225562579,225565138,225568024,225569281,225576193,225577575,225580153,225586368,	225140372,225142661,225147855,225152181,225155133,225156461,225161793,225190485,225195115,225211317,225226396,225230537,225231446,225231588,225237912,225239153,225266909,225268081,225270251,225273246,225284820,225288415,225305386,225305583,225306922,225328433,225332099,225333028,225334806,225339707,225340399,225341452,225347031,225355641,225372993,225380398,225391885,225393673,225394670,225418775,225428295,225438358,225440003,225445662,225446823,225451899,225452884,225454343,225458437,225459608,225460657,225477587,225488571,225490858,225492610,225495163,225495987,225506285,225510366,225511924,225512439,225519139,225520993,225524968,225525763,225528159,225533664,225534158,225539349,225541505,225546198,225548383,225552494,225555507,225562390,225564958,225567861,225569085,225576081,225577436,225579993,225586222,225586756,
TRIM11	1	chr1	-	228581377	228594541	228582953,228584748,228584866,228588895,228589862,	228584648,228584844,228588665,228589767,228593855,
