name,file,core_dataset,mean,max,N50,cuts
chrysemys_picta_bellii/,https://ftp.ensembl.org/pub/release-106/fasta/chrysemys_picta_bellii/dna/Chrysemys_picta_bellii.Chrysemys_picta_bellii-3.0.3.dna.primary_assembly.1.fa.gz,chrysemys_picta_bellii_core_106_303/,77392008.0,77392008.0,77392008.0,0.0
chrysolophus_pictus/,https://ftp.ensembl.org/pub/release-106/fasta/chrysolophus_pictus/dna/Chrysolophus_pictus.Chrysolophus_pictus_GenomeV1.0.dna.toplevel.fa.gz,chrysolophus_pictus_core_106_1/,71637.80243458794,18323375.0,1560063.0,0.0
ciona_intestinalis/,https://ftp.ensembl.org/pub/release-106/fasta/ciona_intestinalis/dna/Ciona_intestinalis.KH.dna.toplevel.fa.gz,ciona_intestinalis_core_106_3/,17598.905538992625,249546.0,37095.0,5101.0
ciona_savignyi/,https://ftp.ensembl.org/pub/release-106/fasta/ciona_savignyi/dna/Ciona_savignyi.CSAV2.0.dna.toplevel.fa.gz,ciona_savignyi_core_106_2/,,,,
clupea_harengus/,https://ftp.ensembl.org/pub/release-106/fasta/clupea_harengus/dna/Clupea_harengus.Ch_v2.0.2.dna.primary_assembly.1.fa.gz,clupea_harengus_core_106_202/,33084258.0,33084258.0,33084258.0,0.0
colobus_angolensis_palliatus/,https://ftp.ensembl.org/pub/release-106/fasta/colobus_angolensis_palliatus/dna/Colobus_angolensis_palliatus.Cang.pa_1.0.dna.toplevel.fa.gz,colobus_angolensis_palliatus_core_106_1/,13594.367063371279,487594.0,38366.0,184000.0
corvus_moneduloides/,https://ftp.ensembl.org/pub/release-106/fasta/corvus_moneduloides/dna/Corvus_moneduloides.UO_Cmon_1.0.dna.toplevel.fa.gz,corvus_moneduloides_core_106_1/,352656.21929238987,24600379.0,4457533.0,0.0
cottoperca_gobio/,https://ftp.ensembl.org/pub/release-106/fasta/cottoperca_gobio/dna/Cottoperca_gobio.fCotGob3.1.dna.primary_assembly.1.fa.gz,cottoperca_gobio_core_106_31/,27055867.0,27055867.0,27055867.0,0.0
coturnix_japonica/,https://ftp.ensembl.org/pub/release-106/fasta/coturnix_japonica/dna/Coturnix_japonica.Coturnix_japonica_2.0.dna.primary_assembly.1.fa.gz,coturnix_japonica_core_106_2/,175656249.0,175656249.0,175656249.0,0.0
cricetulus_griseus_chok1gshd/,https://ftp.ensembl.org/pub/release-106/fasta/cricetulus_griseus_chok1gshd/dna/Cricetulus_griseus_chok1gshd.CHOK1GS_HDv1.dna.toplevel.fa.gz,cricetulus_griseus_chok1gshd_core_106_1/,32456.505579686866,841724.0,97132.0,63334.0
cricetulus_griseus_crigri/,https://ftp.ensembl.org/pub/release-106/fasta/cricetulus_griseus_crigri/dna/Cricetulus_griseus_crigri.CriGri_1.0.dna.toplevel.fa.gz,cricetulus_griseus_crigri_core_106_1/,8720.76683584976,412583.0,39367.0,156635.0
cricetulus_griseus_picr/,https://ftp.ensembl.org/pub/release-106/fasta/cricetulus_griseus_picr/dna/Cricetulus_griseus_picr.CriGri-PICR.dna.toplevel.fa.gz,cricetulus_griseus_picr_core_106_1/,1294484.6491803278,80584097.0,19581774.0,0.0
crocodylus_porosus/,https://ftp.ensembl.org/pub/release-106/fasta/crocodylus_porosus/dna/Crocodylus_porosus.CroPor_comp1.dna.toplevel.fa.gz,crocodylus_porosus_core_106_1/,29279089.314285714,270692262.0,84437661.0,0.0
cyanistes_caeruleus/,https://ftp.ensembl.org/pub/release-106/fasta/cyanistes_caeruleus/dna/Cyanistes_caeruleus.cyaCae2.dna.toplevel.fa.gz,cyanistes_caeruleus_core_106_2/,40515.432638154074,47299075.0,16846143.0,0.0
cyclopterus_lumpus/,https://ftp.ensembl.org/pub/release-106/fasta/cyclopterus_lumpus/dna/Cyclopterus_lumpus.fCycLum1.pri.dna.primary_assembly.1.fa.gz,cyclopterus_lumpus_core_106_1/,27387776.0,27387776.0,27387776.0,0.0
cynoglossus_semilaevis/,https://ftp.ensembl.org/pub/release-106/fasta/cynoglossus_semilaevis/dna/Cynoglossus_semilaevis.Cse_v1.0.dna.primary_assembly.1.fa.gz,cynoglossus_semilaevis_core_106_1/,34528841.0,34528841.0,34528841.0,0.0
cyprinodon_variegatus/,https://ftp.ensembl.org/pub/release-106/fasta/cyprinodon_variegatus/dna/Cyprinodon_variegatus.C_variegatus-1.0.dna.toplevel.fa.gz,cyprinodon_variegatus_core_106_1/,111803.053785506,4516015.0,835301.0,0.0
cyprinus_carpio/,https://ftp.ensembl.org/pub/release-106/fasta/cyprinus_carpio/dna/Cyprinus_carpio.common_carp_genome.dna.primary_assembly.1.fa.gz,cyprinus_carpio_carpio_core_106_4/,,,,
cyprinus_carpio_carpio/,https://ftp.ensembl.org/pub/release-106/fasta/cyprinus_carpio_carpio/dna/Cyprinus_carpio_carpio.Cypcar_WagV4.0.dna.toplevel.fa.gz,cyprinus_carpio_carpio_core_106_4/,2163504.248888889,44203733.0,28473900.0,0.0
cyprinus_carpio_germanmirror/,https://ftp.ensembl.org/pub/release-106/fasta/cyprinus_carpio_germanmirror/dna/Cyprinus_carpio_german_mirror.German_Mirror_carp_1.0.dna.toplevel.fa.gz,cyprinus_carpio_germanmirror_core_106_10/,76520.52331241887,14180042.0,2603917.0,0.0
cyprinus_carpio_hebaored/,https://ftp.ensembl.org/pub/release-106/fasta/cyprinus_carpio_hebaored/dna/Cyprinus_carpio_hebao_red.Hebao_red_carp_1.0.dna.toplevel.fa.gz,cyprinus_carpio_hebaored_core_106_10/,5594.524235633596,6571350.0,898640.0,0.0
cyprinus_carpio_huanghe/,https://ftp.ensembl.org/pub/release-106/fasta/cyprinus_carpio_huanghe/dna/Cyprinus_carpio_huanghe.Hunaghe_carp_2.0.dna.toplevel.fa.gz,cyprinus_carpio_huanghe_core_106_20/,9898.649877278005,10558934.0,1596048.0,0.0
danio_rerio/,https://ftp.ensembl.org/pub/release-106/fasta/danio_rerio/dna/Danio_rerio.GRCz11.dna.primary_assembly.fa.gz,danio_rerio_core_106_11/,75639.68383246768,21035522.0,1763497.0,17105.0
dasypus_novemcinctus/,https://ftp.ensembl.org/pub/release-106/fasta/dasypus_novemcinctus/dna/Dasypus_novemcinctus.Dasnov3.0.dna.toplevel.fa.gz,dasypus_novemcinctus_core_106_3/,10475.747326746505,272149.0,26278.0,268413.0
delphinapterus_leucas/,https://ftp.ensembl.org/pub/release-106/fasta/delphinapterus_leucas/dna/Delphinapterus_leucas.ASM228892v3.dna.toplevel.fa.gz,delphinapterus_leucas_core_106_3/,400131.1869602032,120963982.0,31183418.0,0.0
denticeps_clupeoides/,https://ftp.ensembl.org/pub/release-106/fasta/denticeps_clupeoides/dna/Denticeps_clupeoides.fDenClu1.1.dna.primary_assembly.1.fa.gz,denticeps_clupeoides_core_106_11/,42171479.0,42171479.0,42171479.0,0.0
dicentrarchus_labrax/,https://ftp.ensembl.org/pub/release-106/fasta/dicentrarchus_labrax/dna/Dicentrarchus_labrax.dlabrax2021.dna.toplevel.fa.gz,dicentrarchus_labrax_core_106_2021/,2304278.6523178807,37882625.0,29885359.0,0.0
dipodomys_ordii/,https://ftp.ensembl.org/pub/release-106/fasta/dipodomys_ordii/dna/Dipodomys_ordii.Dord_2.0.dna.toplevel.fa.gz,dipodomys_ordii_core_106_2/,13932.547737913726,721658.0,48090.0,83033.0
dromaius_novaehollandiae/,https://ftp.ensembl.org/pub/release-106/fasta/dromaius_novaehollandiae/dna/Dromaius_novaehollandiae.droNov1.dna.toplevel.fa.gz,dromaius_novaehollandiae_core_106_1/,429325.6622254231,11235192.0,3305683.0,0.0
drosophila_melanogaster/,https://ftp.ensembl.org/pub/release-106/fasta/drosophila_melanogaster/dna/Drosophila_melanogaster.BDGP6.32.dna.primary_assembly.2L.fa.gz,drosophila_melanogaster_core_106_9/,23513712.0,23513712.0,23513712.0,0.0
echeneis_naucrates/,https://ftp.ensembl.org/pub/release-106/fasta/echeneis_naucrates/dna/Echeneis_naucrates.fEcheNa1.1.dna.primary_assembly.1.fa.gz,echeneis_naucrates_core_106_11/,25313583.0,25313583.0,25313583.0,0.0
echinops_telfairi/,https://ftp.ensembl.org/pub/release-106/fasta/echinops_telfairi/dna/Echinops_telfairi.TENREC.dna.toplevel.fa.gz,echinops_telfairi_core_106_1/,2571.0674346172163,39349.0,3100.0,523005.0
electrophorus_electricus/,https://ftp.ensembl.org/pub/release-106/fasta/electrophorus_electricus/dna/Electrophorus_electricus.Ee_SOAP_WITH_SSPACE.dna.toplevel.fa.gz,electrophorus_electricus_core_106_2/,62813.66583200546,3115075.0,613956.0,0.0
eptatretus_burgeri/,https://ftp.ensembl.org/pub/release-106/fasta/eptatretus_burgeri/dna/Eptatretus_burgeri.Eburgeri_3.2.dna.toplevel.fa.gz,eptatretus_burgeri_core_106_32/,240492.6739811912,15293217.0,2692996.0,0.0
equus_asinus_asinus/,https://ftp.ensembl.org/pub/release-106/fasta/equus_asinus_asinus/dna/Equus_asinus_asinus.ASM303372v1.dna.toplevel.fa.gz,equus_asinus_asinus_core_106_1/,257321.98946784923,84202212.0,15144613.0,0.0
equus_caballus/,https://ftp.ensembl.org/pub/release-106/fasta/equus_caballus/dna/Equus_caballus.EquCab3.0.dna.primary_assembly.1.fa.gz,equus_caballus_core_106_3/,188260577.0,188260577.0,188260577.0,0.0
erinaceus_europaeus/,https://ftp.ensembl.org/pub/release-106/fasta/erinaceus_europaeus/dna/Erinaceus_europaeus.HEDGEHOG.dna.toplevel.fa.gz,erinaceus_europaeus_core_106_1/,2515.435824325424,392636.0,2753.0,494980.0
erpetoichthys_calabaricus/,https://ftp.ensembl.org/pub/release-106/fasta/erpetoichthys_calabaricus/dna/Erpetoichthys_calabaricus.fErpCal1.1.dna.primary_assembly.1.fa.gz,erpetoichthys_calabaricus_core_106_11/,350098611.0,350098611.0,350098611.0,0.0
erythrura_gouldiae/,https://ftp.ensembl.org/pub/release-106/fasta/erythrura_gouldiae/dna/Erythrura_gouldiae.GouldianFinch.dna.toplevel.fa.gz,erythrura_gouldiae_core_106_1/,58283.53690398432,68020037.0,17126938.0,0.0
esox_lucius/,https://ftp.ensembl.org/pub/release-106/fasta/esox_lucius/dna/Esox_lucius.Eluc_v4.dna.primary_assembly.LG01.fa.gz,esox_lucius_core_106_4/,43297210.0,43297210.0,43297210.0,0.0
falco_tinnunculus/,https://ftp.ensembl.org/pub/release-106/fasta/falco_tinnunculus/dna/Falco_tinnunculus.FalTin1.0.dna.toplevel.fa.gz,falco_tinnunculus_core_106_1/,17073.04986325949,64290118.0,21232185.0,0.0
felis_catus/,https://ftp.ensembl.org/pub/release-106/fasta/felis_catus/dna/Felis_catus.Felis_catus_9.0.dna.toplevel.fa.gz,felis_catus_core_106_9/,504471.03177836625,167918409.0,41915694.0,401.0
ficedula_albicollis/,https://ftp.ensembl.org/pub/release-106/fasta/ficedula_albicollis/dna/Ficedula_albicollis.FicAlb1.5.dna.primary_assembly.1.fa.gz,ficedula_albicollis_core_106_15/,120002344.0,120002344.0,120002344.0,0.0
fukomys_damarensis/,https://ftp.ensembl.org/pub/release-106/fasta/fukomys_damarensis/dna/Fukomys_damarensis.DMR_v1.0.dna.toplevel.fa.gz,fukomys_damarensis_core_106_1/,14062.718295128763,435872.0,44831.0,87815.0
fundulus_heteroclitus/,https://ftp.ensembl.org/pub/release-106/fasta/fundulus_heteroclitus/dna/Fundulus_heteroclitus.Fundulus_heteroclitus-3.0.2.dna.toplevel.fa.gz,fundulus_heteroclitus_core_106_302/,100382.9626719057,6356336.0,1252252.0,0.0
